rawName,type,offsetStart,offsetEnd,nerd_selection_score,wikipediaExternalRef,wikidataId
Allemagne,LOCATION,186293,186302,0.7793,1590005,Q183
France,LOCATION,186313,186319,0.7527,1095,Q142
Paris,LOCATION,186679,186684,0.7837,681159,Q90
bains de mer,,186785,186797,0.9443,628909,Q1132965
bains de mer,,186902,186914,0.9443,628909,Q1132965
France,LOCATION,188077,188083,0.7527,1095,Q142
veules,,188160,188166,0.5529,49757,Q3333964
France,LOCATION,188296,188302,0.7527,1095,Q142
propagande nazie,,188473,188489,0.9779,236797,Q705157
jansénistes,,188732,188743,0.7289,3997325,Q1287
saine,,188824,188829,0.4795,1682330,Q3461652
nazis,,188899,188904,0.6218,1530239,Q7310
totalitarisme,,188980,188993,0.7727,15761,Q128135
propagande,,189197,189207,0.3571,55647,Q7281
propagande,,189341,189351,0.3571,55647,Q7281
propagande,,189419,189429,0.3571,55647,Q7281
propagande,,189641,189651,0.3571,55647,Q7281
propagande,,189717,189727,0.3571,55647,Q7281
Vogüé,,189910,189915,0.5324,323512,Q391128
après-guerre,,189981,189993,0.6293,531776,Q1201472
maintien de l'ordre,,190690,190709,0.5986,332922,Q160146
syndicaliste,,190767,190779,0.5663,5612,Q49780
syndicaliste,,190800,190812,0.5663,5612,Q49780
communisant,,190813,190824,0.42,5349064,Q6186
Lachaud,BUSINESS,191065,191072,0,,
Français,,191333,191341,0.6535,1095,Q142
France,LOCATION,191559,191565,0.7527,1095,Q142
Lachaud,LOCATION,192168,192175,0,,
Prance,LOCATION,192181,192187,0,,
Lachaud,BUSINESS,192379,192386,0,,
conjugaison,,192450,192461,0.4283,70667,Q474628
Deplus,BUSINESS,192818,192824,0,,
Lozet,BUSINESS,192951,192956,0,,
Laymond Laurent,PERSON,192977,192992,0,,
rr,,193359,193361,0.6906,470991,Q498721
oligarchie,,193891,193901,0.7617,36365,Q79751
Dumanoir,BUSINESS,194018,194026,0.8213,5870761,Q1396138
équilibres politiques,,194191,194212,0.3525,1191707,Q1125082
Vallat,BUSINESS,194853,194859,0.3547,4914517,Q1767475
propagande,,195475,195485,0.3571,55647,Q7281
anti-communiste,,195486,195501,0.9274,387403,Q182121
paris,,195684,195689,0.665,681159,Q90
Mn,,195740,195742,0.5893,11718,Q731
Musson,,195958,195964,0.5437,221825,Q713538
Antigone,LOCATION,196425,196433,0,,
Antigone,LOCATION,196720,196728,0,,
Sophocle,,196894,196902,0.8261,29502,Q7235
Don Juan,PERSON,197156,197164,0.8874,259439,Q210372
refoulement,,197191,197202,0.5938,189891,Q941796
Antigone,LOCATION,197205,197213,0,,
Ehilippe,BUSINESS,197369,197377,0,,
Philippe,PERSON,197729,197737,0,,
espère,,197830,197836,0.5662,474089,Q1321617
Pilippe,LOCATION,198032,198039,0,,
ome,,198062,198065,0.354,885978,Q105376
Anglo-Saxons,LOCATION,198105,198117,0.5781,49598,Q32768
chute de Rome,,198321,198334,0.5012,965065,Q689999
débarquement en France,,198570,198592,0.5123,557878,Q16470
Dérard,BUSINESS,198696,198702,0,,
Assemblée Nationale,INSTITUTION,199212,199231,0.8797,118444,Q193582
capitalisme,,199384,199395,0.6478,8313,Q6206
stérilité,,199775,199784,0.6064,96372,Q3749492
nationalisation,,199968,199983,0.5927,5118,Q178564
ascétisme,,200212,200221,0.6233,2846183,Q179807
occupations d'usines,,200837,200857,0.5117,6105152,Q3118398
aures,,200989,200994,0.5714,3552084,Q62624
S.,BUSINESS,201503,201505,0,,
Iristan,BUSINESS,201524,201531,0,,
impulsivité,,201554,201565,0.5394,1973691,Q1549918
franchise,,202406,202415,0.5692,1015497,Q1441324
Sérardelsol,BUSINESS,202489,202500,0,,
vains,,202586,202591,0.6137,484962,Q634191
CRA N GINAD,BUSINESS,202611,202622,0,,
Pénélope,LOCATION,202824,202832,0.567,87493,Q165769
guignol,,203035,203042,0.5788,33390,Q4179
Ron,BUSINESS,203307,203310,0,,
anticommuniste,,203959,203973,0.6538,387403,Q182121
Rossini,,204762,204769,0.6648,107250,Q9726
allemand,,205553,205561,0.4442,1590005,Q183
aimable,,205646,205653,0.3589,568521,Q2827988
lares,,206013,206018,0.6066,97077,Q504377
oute,,206452,206456,0.6868,2430559,Q191000
guignol,,206517,206524,0.5788,33390,Q4179
Paris,LOCATION,207082,207087,0.7837,681159,Q90
Administrations publiques,,207165,207190,0.8361,82595,Q31728
Lobert,BUSINESS,207376,207382,0,,
Commune,,207874,207881,0.3596,29110,Q133132
Paris,LOCATION,207928,207933,0.7837,681159,Q90
Paris,LOCATION,208241,208246,0.7837,681159,Q90
Paris,LOCATION,208762,208767,0.7837,681159,Q90
dea,,208815,208818,0.5521,51206,Q694134
André,LOCATION,208844,208849,0,,
Eisenhover,BUSINESS,208950,208960,0.8397,24969,Q9916
trusts,,209238,209244,0.5984,1198172,Q1133938
Dauchardi,BUSINESS,209639,209648,0,,
Paris,LOCATION,209754,209759,0.7837,681159,Q90
France,LOCATION,209874,209880,0.7527,1095,Q142
Cr,,210143,210145,0.5516,11717,Q725
abimes,,210275,210281,0.6828,1118897,Q816156
tron,,210341,210345,0.568,183784,Q626483
cest,,210354,210358,0.6572,70878,Q207020
oas,,210507,210510,0.6941,6600,Q918356
ECI,BUSINESS,211406,211409,0,,
coup de vent,,211828,211840,0.3826,339626,Q170464
Menaud,BUSINESS,211842,211848,0,,
Croset,BUSINESS,211852,211858,0,,
propagande,,212248,212258,0.3571,55647,Q7281
cloche,,212449,212455,0.368,72056,Q101401
syndicalisme,,212470,212482,0.5557,5612,Q49780
Massif Central,ORGANISATION,212703,212717,0.964,37100,Q190695
classes moyennes,,214227,214243,0.619,605057,Q241588
gons,,214446,214450,0.7746,695604,Q208528
Paris,LOCATION,214955,214960,0.7837,681159,Q90
AMAMDE,ORGANISATION,215108,215114,0,,
Caulle,LOCATION,216181,216187,0,,
Ne-forx,LOCATION,216211,216218,0,,
Croix,LOCATION,216244,216249,0,,
Amérique,LOCATION,216381,216389,0.3699,5066,Q828
augure,,216401,216407,0.5473,191984,Q215909
libération de Paris,,216613,216632,0.9928,850121,Q696835
têtes de ponts,,216804,216818,0.5531,979352,Q996524
Staline,LOCATION,216875,216882,0.8631,32476,Q855
Paris,LOCATION,216956,216961,0.7837,681159,Q90
allemande,,217054,217063,0.5225,1590005,Q183
Suhmann,BUSINESS,217241,217248,0,,
française,,217267,217276,0.5583,1095,Q142
France,LOCATION,217594,217600,0.7527,1095,Q142
Paris,LOCATION,217722,217727,0.7837,681159,Q90
Riez,,217804,217808,0.6426,319037,Q457002
disette,,217924,217931,0.4133,96166,Q168247
charbon,,217951,217958,0.4263,5329820,Q24489
Edouard,PERSON,218705,218712,0,,
Eérard,PERSON,218737,218743,0,,
cours de change,,218754,218769,0.8952,103656,Q66100
Mormandie,LOCATION,218797,218806,0,,
dollar,,218815,218821,0.423,5163,Q14083
questions monétaires,,218839,218859,0.5684,76003,Q214393
Sdouard,BUSINESS,219110,219117,0,,
interventionniste,,219494,219511,0.5342,135972,Q597339
Edouard,PERSON,219548,219555,0,,
MAEDI,,219619,219624,0.7231,644019,Q789848
SP,BUSINESS,220260,220262,0,,
maquisards,,220400,220410,0.5934,12676,Q701165
victimes expiatoires,,220486,220506,0.5563,57021,Q245122
politique sociale,,220703,220720,0.6225,1061445,Q828395
SIP,BUSINESS,221235,221238,0,,
Alger,LOCATION,221714,221719,0.8432,107,Q3561
CI,BUSINESS,222340,222342,0,,
roquer,,222545,222551,0.6359,351295,Q102877
déserteur,,222689,222698,0.3845,289129,Q633339
I-Nechnicien,LOCATION,223138,223152,0,,
hardis,,223353,223359,0.5789,6692849,Q3127388
Paris,LOCATION,223567,223572,0.7837,681159,Q90
Paris,,223881,223886,0.5627,681159,Q90
Paris,LOCATION,223931,223936,0.7837,681159,Q90
AE0 RADa Mous,BUSINESS,224213,224226,0,,
Dumont,BUSINESS,225356,225362,0,,
artin,,225870,225875,0.4218,30132,Q57283
amiral Derrien,,226046,226060,0.8851,10627577,Q28839076
grand parti,,226372,226383,0.3975,2497304,Q2421530
Comac,,226901,226906,0.5139,3918198,Q1115363
Paris,LOCATION,227206,227211,0.7837,681159,Q90
Paris,LOCATION,227844,227849,0.7837,681159,Q90
aise,,227861,227865,0.6906,463200,Q1548757
Crd,ORGANISATION,228050,228053,0,,
Naurice,PERSON,228065,228072,0,,
Vichy,LOCATION,228987,228992,0.4988,15794,Q93351
FN,,229397,229399,0.7737,1122,Q205150
yas,,229886,229889,0.6828,93703,Q710466
sens moral,,229979,229989,0.4763,7145,Q48324
Cotentin,ORGANISATION,230064,230072,0.8587,1600597,Q463529
tête de pont,,230148,230160,0.411,979352,Q996524
Levu Nadelin,PERSON,230238,230250,0,,
maquis,,230320,230326,0.4106,12676,Q701165
Mormandie,LOCATION,230650,230659,0,,
vienne,,230945,230951,0.4994,15839,Q1741
sS,,231506,231508,0.6078,24131,Q44687
Vive la liberté,,231648,231663,0.8982,5489521,Q1759277
Constantinople,LOCATION,231680,231694,0.8777,26277,Q16869
Mathieu,BUSINESS,231733,231740,0,,
allemand,,232340,232348,0.4442,1590005,Q183
réactionnaire,,232722,232735,0.513,437603,Q192957
Crégoire,LOCATION,233035,233043,0,,
Paris,LOCATION,233109,233114,0.7837,681159,Q90
complexe d'infériorité,,233198,233220,0.9051,525363,Q319763
politique dans ce pays,,233239,233261,0.5558,81268,Q1155561
radio de Londres,,233525,233541,0.8582,941013,Q826265
franco,,233584,233590,0.4115,1095,Q142
britannique,,233591,233602,0.6339,2551,Q145
Alger,LOCATION,233693,233698,0.8432,107,Q3561
américaine,,233765,233775,0.6739,1377936,Q30
franco,,233846,233852,0.4115,1095,Q142
anglais,,233853,233860,0.503,5539,Q1860
ondres,,233911,233917,0.6069,465341,Q1114119
Anglais,,234023,234030,0.4857,5539,Q1860
gouvernail,,234505,234515,0.5629,428498,Q209760
bière,,234582,234587,0.6628,17752,Q44
Dumont,BUSINESS,234643,234649,0,,
première provinciale,,234679,234699,0.9889,4900874,Q2186316
Paris,LOCATION,234937,234942,0.7837,681159,Q90
désarroi,,235138,235146,0.6061,9462485,Q19903966
gênes,,235167,235172,0.7551,12419,Q1449
CFI,BUSINESS,235224,235227,0,,
réactionnaire,,235570,235583,0.513,437603,Q192957
réactionnaire,,235831,235844,0.513,437603,Q192957
gardien de la paix,,236109,236127,0.8825,1189743,Q3095455
Front National,ORGANISATION,236711,236725,0.9603,1122,Q205150
maringouin,,237211,237221,0.7147,2123054,Q7367
Vitea,BUSINESS,237382,237387,0,,
allemande,,237730,237739,0.5225,1590005,Q183
Finlande,LOCATION,237880,237888,0.8083,1094,Q33
RoJ,BUSINESS,238239,238242,0,,
avocat,,238317,238323,0.6304,57147,Q40348
Robert,PERSON,238337,238343,0,,
Robert,BUSINESS,238797,238803,0,,
patriotisme,,239739,239750,0.3546,20033,Q6241
Mobert,BUSINESS,240423,240429,0,,
Français,,240525,240533,0.6535,1095,Q142
Robert,PERSON,240817,240823,0,,
Mobert,BUSINESS,240924,240930,0,,
oea,,240967,240970,0.6378,67952,Q123759
Lobert,BUSINESS,241207,241213,0,,
étrier,,241331,241337,0.4233,546697,Q191657
Solférino,BUSINESS,241383,241392,0.5191,285989,Q324916
Seine,,241557,241562,0.4247,2763,Q1471
Narns,PERSON,241566,241571,0,,
visé,,241848,241852,0.6193,177989,Q49743
pri,,241922,241925,0.4263,18498,Q682969
ambulance,,241962,241971,0.5316,62018,Q180481
L.F.,PERSON,242256,242260,0.4563,406583,Q178823
investissements étrangers,,242395,242420,0.5683,163133,Q490513
comptes en banque,,242706,242723,0.4974,91049,Q676459
comptes en banque,,242855,242872,0.4974,91049,Q676459
comptes en banque,,243021,243038,0.4974,91049,Q676459
déflation,,243346,243355,0.6628,7195,Q161081
politique économique,,243391,243411,0.5958,480150,Q582577
réformes de structure,,243419,243440,0.3658,2502636,Q3454788
réformes de structure,,243781,243802,0.3658,2502636,Q3454788
dévaluation,,244032,244043,0.6018,15776,Q220788
nées,,244172,244176,0.7453,130114,Q14819852
dollar,,244263,244269,0.423,5163,Q14083
Vous,BUSINESS,244321,244325,0,,
aures,,244328,244333,0.5714,3552084,Q62624
dévaluation,,244720,244731,0.6018,15776,Q220788
faon,,244787,244791,0.4411,45560,Q23390
réformes de structure,,244969,244990,0.3658,2502636,Q3454788
classe ouvrière,,245459,245474,0.9384,36070,Q191159
fonction publique,,246335,246352,0.7528,1260922,Q11771944
André Mabé,PERSON,246610,246620,0,,
aigre,,246760,246765,0.6323,343558,Q1451759
marxiste,,247087,247095,0.6443,45519,Q7264
Paris,LOCATION,247129,247134,0.7837,681159,Q90
ail,,247305,247308,0.6636,31525,Q23400
Pain,BUSINESS,247904,247908,0,,
réformes de structure,,247951,247972,0.3658,2502636,Q3454788
communisme,,248206,248216,0.6194,5349064,Q6186
Lgon-I,LOCATION,248278,248285,0,,
homéopathique,,249341,249354,0.5398,25715,Q81058
bottin mondain,,249465,249479,0.9444,715512,Q1299845
ECAD,ORGANISATION,249568,249572,0,,
allemand,,250219,250227,0.4442,1590005,Q183
auberge,,250542,250549,0.6481,1875153,Q256020
Jean-Jacques,PERSON,250621,250633,0,,
époque révolutionnaire,,251065,251087,0.6158,6742,Q6534
Chabot,BUSINESS,251200,251206,0,,
gand,,251246,251250,0.725,6095,Q1296
parti républicain,,251251,251268,0.9317,19747,Q29468
Cest,,251280,251284,0.6572,70878,Q207020
parti unique,,251353,251365,0.9722,783562,Q50686
parti gaulliste,,251420,251435,0.5488,50270,Q770215
vus,,251654,251657,0.6734,141745,Q192152
eiger,,251659,251664,0.6689,181035,Q4425
Lail,LOCATION,251731,251735,0,,
homme d'Etat,,252689,252701,0.8905,583200,Q372436
Lachaud,LOCATION,252812,252819,0,,
Personne,BUSINESS,253005,253013,0,,
Croix de Peu de gauche,BUSINESS,253200,253222,0,,
fondeur,,253764,253771,0.6656,52128,Q179687
mégalomanie,,254184,254195,0.6,1368598,Q987664
juive,,254225,254230,0.4062,2350680,Q7325
allemande,,254497,254506,0.5225,1590005,Q183
Lavier,LOCATION,254790,254796,0.3622,1311340,Q1409019
Fresse,LOCATION,254856,254862,0.6018,554938,Q918809
anti-capitaliste,,255057,255073,0.9406,106734,Q389647
Lachaud,BUSINESS,256524,256531,0,,
Labbé,BUSINESS,256734,256739,0,,
homme politique,,256832,256847,0.9695,42905,Q82955
Paniel,PERSON,257159,257165,0,,
Léon,LOCATION,257221,257225,0,,
ail,,257586,257589,0.6636,31525,Q23400
Paris,LOCATION,257625,257630,0.7837,681159,Q90
vus,,257670,257673,0.6734,141745,Q192152
Daymond,BUSINESS,257686,257693,0,,
manière de voir,,257946,257961,0.888,809709,Q3285985
Assemblée Nationale,INSTITUTION,258569,258588,0.8797,118444,Q193582
dions,,258920,258925,0.7403,410852,Q244175
Paris,LOCATION,259027,259032,0.7837,681159,Q90
Raymond,PERSON,259120,259127,0,,
galère,,259211,259217,0.5553,1028121,Q188924
tradition révolutionnaire,,259290,259315,0.3726,6742,Q6534
Paris,LOCATION,259705,259710,0.7837,681159,Q90
Paris,,259757,259762,0.5627,681159,Q90
mauvais oeil,,260958,260970,0.6146,963525,Q1020115
aristocratie,,261420,261432,0.3532,3864715,Q123432
classe ouvrière,,261455,261470,0.9384,36070,Q191159
allemande,,261681,261690,0.5225,1590005,Q183
Berlin,LOCATION,261728,261734,0.8349,7221,Q64
France,LOCATION,261812,261818,0.7527,1095,Q142
maquis,,262100,262106,0.4106,12676,Q701165
maquis,,262196,262202,0.4106,12676,Q701165
Flavin,BUSINESS,262261,262267,0,,
russe,,262305,262310,0.4353,2549,Q159
Caulle,PERSON,262370,262376,0,,
maquis,,262423,262429,0.4106,12676,Q701165
Chine,LOCATION,262734,262739,0.8245,10853,Q148
France,LOCATION,263691,263697,0.7527,1095,Q142
Sayet,BUSINESS,263773,263778,0,,
France,LOCATION,263825,263831,0.7527,1095,Q142
Pévrier,BUSINESS,263854,263861,0,,
Champs-Elysées,LOCATION,263946,263960,0.5988,31578,Q550
étatisme,,264449,264457,0.6456,28506,Q322294
étatisme,,264616,264624,0.6456,28506,Q322294
société sans classe,,264767,264786,0.9248,1411848,Q1571775
suf,,265176,265179,0.6038,3693616,Q3476402
pastiche,,265777,265785,0.6325,246912,Q1128018
Eérard,BUSINESS,265838,265844,0,,
mème,,266154,266158,0.4427,97081,Q978
allocations familiales,,266431,266453,0.935,842748,Q1455934
mème,,266642,266646,0.4427,97081,Q978
France,LOCATION,266653,266659,0.7527,1095,Q142
embourgeoisement,,267104,267120,0.5869,429602,Q119380
réformes de structure,,267137,267158,0.3658,2502636,Q3454788
Sérard,BUSINESS,267159,267165,0,,
capitaliste,,267512,267523,0.6015,8313,Q6206
capitaliste,,267677,267688,0.6015,8313,Q6206
lèpre,,268078,268083,0.7902,87849,Q36956
moralisme,,268972,268981,0.4894,7145,Q48324
libéralisme économique,,268999,269021,0.9919,450139,Q729119
Rossini,,269743,269750,0.6648,107250,Q9726
maquis,,269884,269890,0.4106,12676,Q701165
Lavier,BUSINESS,269976,269982,0.3622,1311340,Q1409019
Mavier,BUSINESS,270048,270054,0,,
songeons,,270099,270107,0.639,532557,Q548190
démocrates chrétiens,,270165,270185,0.9199,27264,Q209158
après guerre,,270979,270991,0.3672,531776,Q1201472
Paris,LOCATION,271348,271353,0.7837,681159,Q90
couleurs tricolores,,271583,271602,0.3593,23787,Q43192
Lachaud,BUSINESS,271906,271913,0,,
Préfecture de la Seine,,271994,272016,0.925,561264,Q3408923
agira,,272063,272068,0.4195,890078,Q56195
concordat,,272111,272120,0.4257,47610,Q213541
concordat,,272304,272313,0.4257,47610,Q213541
ion,,272464,272467,0.7074,7204,Q36496
Dd,BUSINESS,272997,272999,0,,
Dr L.,BUSINESS,273438,273443,0,,
mème,,273524,273528,0.4427,97081,Q978
histoire contemporaine,,273575,273597,0.8447,1191278,Q6495391
Allemagne,LOCATION,274110,274119,0.7793,1590005,Q183
mème,,274178,274182,0.4427,97081,Q978
patriotisme,,274326,274337,0.3546,20033,Q6241
France,LOCATION,274472,274478,0.7527,1095,Q142
Daladier,,274595,274603,0.5837,53355,Q213526
Mendel,PERSON,274713,274719,0,,
Cr,,274739,274741,0.5516,11717,Q725
Paris,LOCATION,275418,275423,0.7837,681159,Q90
SS0,BUSINESS,275640,275643,0,,
Caen,LOCATION,275670,275674,0.7759,700,Q41185
Allemand,,275749,275757,0.3777,1590005,Q183
diabétique,,276136,276146,0.4054,44596,Q12206
DISL,ORGANISATION,277442,277446,0,,
Delsol,BUSINESS,277773,277779,0,,
Delsol,BUSINESS,278042,278048,0,,
complexe d'infériorité,,278140,278162,0.9051,525363,Q319763
France,LOCATION,278514,278520,0.7527,1095,Q142
socialisme,,278544,278554,0.6243,7136,Q7272
parla,,279052,279057,0.6572,2812306,Q824651
Lyon,LOCATION,279061,279065,0.8018,802627,Q456
parti de la résistance,,279359,279381,0.52,245013,Q3366943
démocratie révolutionnaire,,279905,279931,0.8928,2248032,Q3043534
Allemand,,280227,280235,0.3777,1590005,Q183
tue,,280440,280443,0.5762,12426,Q11146
Français,,280547,280555,0.6535,1095,Q142
Allemand,,280576,280584,0.3777,1590005,Q183
réformes de structure,,280686,280707,0.3658,2502636,Q3454788
classe ouvrière,,280736,280751,0.9384,36070,Q191159
classe ouvrière,,280878,280893,0.9384,36070,Q191159
Sérard,BUSINESS,280995,281001,0,,
socialisme,,281060,281070,0.6243,7136,Q7272
classe ouvrière,,281339,281354,0.9384,36070,Q191159
prolétariat,,281439,281450,0.57,105244,Q132603
Paris,BUSINESS,281546,281551,0.7837,681159,Q90
Madelin,PERSON,282436,282443,0,,
libéralisme,,282904,282915,0.6354,14896,Q6216
Coc Martin,PERSON,283377,283387,0,,
allemande,,283739,283748,0.5225,1590005,Q183
panslave,,284050,284058,0.7483,371693,Q182267
Pierre,PERSON,284072,284078,0,,
Allemagne,LOCATION,284297,284306,0.7793,1590005,Q183
Assemblée Nationale,INSTITUTION,284555,284574,0.8797,118444,Q193582
allemande,,285385,285394,0.5225,1590005,Q183
Dumont,BUSINESS,285418,285424,0,,
Staline,LOCATION,285452,285459,0.8631,32476,Q855
minute de silence,,285502,285519,0.8824,59891,Q1068056
Domont,LOCATION,285605,285611,0.7845,213874,Q1166602
allemand,,285690,285698,0.4442,1590005,Q183
allemand,,285727,285735,0.4442,1590005,Q183
nazis,,285796,285801,0.6218,1530239,Q7310
espèce,,285971,285977,0.7688,1072,Q7432
principe de non-contradiction,,286039,286068,0.9902,16627,Q868437
Dumont Rdet-I,BUSINESS,286197,286212,0,,
Préfecture,LOCATION,286249,286259,0,,
Mobert Serra,BUSINESS,286551,286563,0,,
russe,,286750,286755,0.4353,2549,Q159
aprs,,286819,286823,0.7452,538441,Q787194
Eussie,LOCATION,286889,286895,0,,
révolution sociale,,286955,286973,0.8094,1214295,Q10931
Nerrière,BUSINESS,287093,287101,0,,
germano-russes,,288071,288085,0.9072,396876,Q312574
courent,,288154,288161,0.6887,9480613,Q3696212
Prusse,,288256,288262,0.6285,6818,Q38872
grande colère,,288857,288870,0.3732,5691856,Q2578587
espère,,288942,288948,0.5662,474089,Q1321617
russe,,289288,289293,0.4353,2549,Q159
Francey,LOCATION,289350,289357,0,,
Serlin,PERSON,289782,289788,0,,
allemand,,289823,289831,0.4442,1590005,Q183
hitlérisme,,289855,289865,0.6214,1530239,Q7310
à la folie,,289938,289948,0.5815,7404050,Q8076481
région,,289989,289995,0.6689,2605,Q36784
Allemagne,LOCATION,289998,290007,0.7793,1590005,Q183
nazis,,290117,290122,0.6218,1530239,Q7310
Poisson,LOCATION,290178,290185,0.7552,9507,Q152
Poisson,,290450,290457,0.6364,9507,Q152
Poisson,BUSINESS,290556,290563,0.7552,9507,Q152
laic,,290724,290728,0.3937,53343,Q726710
catholique,,290744,290754,0.6114,571,Q1841
vote des femmes,,291151,291166,0.5954,254034,Q205204
pape,,291253,291257,0.645,5070,Q19546
franquiste,,291344,291354,0.5585,4105467,Q13474305
laà,,291460,291463,0.7026,1137936,Q3220083
polonais,,291681,291689,0.482,2925423,Q1026
Pologne,LOCATION,291773,291780,0.8514,2396,Q36
grande colère,,291866,291879,0.3732,5691856,Q2578587
polonais,,292001,292009,0.482,2925423,Q1026
Allemagne,LOCATION,292158,292167,0.7793,1590005,Q183
Pologne,LOCATION,292242,292249,0.8514,2396,Q36
russe,,292319,292324,0.4353,2549,Q159
partage de la Pologne,,292333,292354,0.6138,415250,Q152006
Pologne,LOCATION,292432,292439,0.8514,2396,Q36
Russie,LOCATION,292456,292462,0.7421,2549,Q159
Pologne,LOCATION,292526,292533,0.8514,2396,Q36
Pologne,LOCATION,292622,292629,0.8514,2396,Q36
anglais,,293323,293330,0.503,5539,Q1860
France,LOCATION,293462,293468,0.7527,1095,Q142
tête de pont,,293469,293481,0.4053,979352,Q996524
anglais,,293563,293570,0.503,5539,Q1860
américaine,,293626,293636,0.6739,1377936,Q30
mèmes,,293649,293654,0.534,1712666,Q2927074
Paris,LOCATION,294210,294215,0.7837,681159,Q90
culotte de peau,,294216,294231,0.5414,852321,Q261061
franchise,,294383,294392,0.5692,1015497,Q1441324
ur,,294619,294621,0.3701,2204503,Q3552108
Préfecture,LOCATION,294671,294681,0,,
Cr,,294841,294843,0.5516,11717,Q725
Crouzet,BUSINESS,294994,295001,0,,
présidence du Conseil,,295102,295123,0.5314,5716420,Q3409212
fascistes,,295268,295277,0.513,1135,Q6223
juif,,295396,295400,0.5462,2350680,Q7325
Crouet,BUSINESS,295414,295420,0,,
Syndicat,ORGANISATION,295704,295712,0,,
patriotisme républicain,,295733,295756,0.5272,329696,Q877848
magistrat,,295763,295772,0.5616,64128,Q4594605
ss,,295897,295899,0.6078,24131,Q44687
Comac,BUSINESS,295913,295918,0.6151,3918198,Q1115363
Comac,ORGANISATION,296073,296078,0.6151,3918198,Q1115363
France,LOCATION,296118,296124,0.7527,1095,Q142
zone sud,,297098,297106,0.5915,58392,Q3575913
Delsol,BUSINESS,297355,297361,0,,
tiers parti,,297427,297438,0.3673,2845927,Q3528251
huila,,297462,297467,0.6463,1547666,Q234920
Cnt,,297784,297787,0.4516,45204,Q550420
Staline,LOCATION,297976,297983,0.8631,32476,Q855
Robert,PERSON,297989,297995,0,,
Mitler,BUSINESS,298110,298116,0,,
allemande,,298272,298281,0.5225,1590005,Q183
nazi,,298389,298393,0.6313,1530239,Q7310
Robert,BUSINESS,298581,298587,0,,
parti de la résistance,,298638,298660,0.52,245013,Q3366943
D.I. P0s,PERSON,298804,298812,0,,
espèce,,298843,298849,0.7688,1072,Q7432
cpas,,298958,298962,0.5709,234601,Q2679662
Paris,LOCATION,299516,299521,0.7837,681159,Q90
Pétain,LOCATION,299719,299725,0.7462,2516,Q5721
veules,,299822,299828,0.5529,49757,Q3333964
Maréchal de France,,299865,299883,0.9946,23364,Q474485
France,LOCATION,299982,299988,0.7527,1095,Q142
Paris,BUSINESS,300285,300290,0.7837,681159,Q90
rat,,300665,300668,0.5599,632173,Q26018
dactylographie,,300825,300839,0.6918,442578,Q184620
Comac,,300971,300976,0.5139,3918198,Q1115363
Vu Poisson,BUSINESS,301302,301312,0,,
Eip,BUSINESS,301349,301352,0,,
Rier,,301744,301748,0.4178,5722499,Q1415376
Pévrier,LOCATION,301812,301819,0,,
Saudry,PERSON,301881,301887,0,,
F.L.,PERSON,302016,302020,0,,
conseillers municipaux,,302499,302521,0.6215,3634863,Q2647159
Alger,,302995,303000,0.7311,107,Q3561
russe,,303533,303538,0.4353,2549,Q159
Varsovie,LOCATION,303543,303551,0.8778,3161,Q270
Paris,LOCATION,303835,303840,0.7837,681159,Q90
Allemagne,LOCATION,303914,303923,0.7793,1590005,Q183
allemande,,303981,303990,0.5225,1590005,Q183
augure,,304000,304006,0.5473,191984,Q215909
Paul Raynaud,PERSON,304032,304044,0,,
Peè,BUSINESS,304233,304236,0,,
S.F.I,BUSINESS,304622,304627,0,,
Salard,PERSON,304934,304940,0,,
anciens combattants,,305004,305023,0.5838,2306484,Q193891
front russe,,305237,305248,0.8698,597713,Q23908696
Varsovie,LOCATION,305339,305347,0.8778,3161,Q270
France,LOCATION,305385,305391,0.7527,1095,Q142
américaine,,305466,305476,0.6739,1377936,Q30
Saint asaire,BUSINESS,305562,305574,0,,
Paris,LOCATION,305588,305593,0.7837,681159,Q90
germano-russes,,305650,305664,0.9072,396876,Q312574
AD-Lrène,BUSINESS,306067,306077,0,,
droit commun,,306137,306149,0.3565,1600679,Q697141
travaux forcés,,306249,306263,0.8657,2603533,Q1373376
Anglais,,306456,306463,0.4857,5539,Q1860
C.N.I,,306833,306838,0.5289,181930,Q761433
entriste,,307008,307016,0.837,45840,Q1755592
parti de la résistance,,307118,307140,0.52,245013,Q3366943
irai,,307299,307303,0.6911,492656,Q384304
Sip,BUSINESS,307534,307537,0,,
automatistes,,307761,307773,0.7524,2014608,Q2872628
socialisme,,308305,308315,0.6243,7136,Q7272
Avranches,,308788,308797,0.6785,17413,Q204430
américain,,308824,308833,0.6921,1377936,Q30
Miérarchie,LOCATION,309005,309015,0,,
Paris,LOCATION,309456,309461,0.7837,681159,Q90
délégation spéciale,,309495,309514,0.9295,2490385,Q3043435
Epinard,,309841,309848,0.3914,66120,Q81464
complexe d'infériorité,,310059,310081,0.9051,525363,Q319763
Rennes,LOCATION,310535,310541,0.8129,3973375,Q647
pays de France,,310804,310818,0.9465,361899,Q3373455
laire,,310916,310921,0.4663,220461,Q667814
Paris,LOCATION,310971,310976,0.7837,681159,Q90
juifs,,311200,311205,0.6281,2350680,Q7325
anarchiste,,311296,311306,0.6757,178,Q6199
Municipalité,,312505,312517,0.362,86177,Q15284
Paris,,312521,312526,0.5627,681159,Q90
