rawName,type,offsetStart,offsetEnd,nerd_selection_score,wikipediaExternalRef,wikidataId
Angleterre,,113914,113924,0.6699,4925,Q21
Vogüé,,113931,113936,0.5324,323512,Q391128
Madelin,PERSON,113950,113957,0,,
rouleau compresseur,,114285,114304,0.9239,830458,Q216842
milicien,,115673,115681,0.3848,83321,Q579564
juif,,116379,116383,0.5462,2350680,Q7325
cest,,116387,116391,0.6572,70878,Q207020
Robinson,PERSON,116533,116541,0,,
Parisis,LOCATION,116644,116651,0,,
Ile-de-France,LOCATION,116874,116887,0.6508,1498,Q13917
France,LOCATION,116914,116920,0.7527,1095,Q142
Fouquet,BUSINESS,117070,117077,0.3783,111114,Q312794
Colbert,,117079,117086,0.617,46652,Q188971
Sceaux,,117089,117095,0.6008,3236109,Q370498
Paris,LOCATION,117188,117193,0.7837,681159,Q90
Paris,LOCATION,117422,117427,0.7837,681159,Q90
Paris,LOCATION,117451,117456,0.7837,681159,Q90
Paris,LOCATION,117616,117621,0.7837,681159,Q90
Paris,LOCATION,117781,117786,0.7837,681159,Q90
franchise,,117959,117968,0.5692,1015497,Q1441324
Lassale,LOCATION,118097,118104,0,,
vie religieuse,,118113,118127,0.5959,1290446,Q167847
Fresnes,LOCATION,118145,118152,0,,
Compïègne,LOCATION,118162,118171,0,,
chapelet,,118392,118400,0.595,423168,Q3129913
prêtre,,118472,118478,0.6195,25470,Q250867
messe,,118493,118498,0.5118,67115,Q132612
autel portatif,,118506,118520,0.3551,6242860,Q2872365
F.T.P,,118932,118937,0.4897,68576,Q15731766
allemand,,119213,119221,0.4442,1590005,Q183
wagon,,119345,119350,0.529,41234,Q9166501
Français,,119577,119585,0.6535,1095,Q142
Gestapo,,119683,119690,0.7812,44681,Q43250
Allemagne,LOCATION,119766,119775,0.7793,1590005,Q183
maquis,,119826,119832,0.4106,12676,Q701165
autoritarisme,,120118,120131,0.5536,1938231,Q6229
France,LOCATION,120309,120315,0.7527,1095,Q142
France,LOCATION,120507,120513,0.7527,1095,Q142
Paris,LOCATION,120597,120602,0.7837,681159,Q90
Chabor,BUSINESS,120877,120883,0,,
Saint-Germain,BUSINESS,120901,120914,0,,
Paris,LOCATION,120939,120944,0.7837,681159,Q90
Bd Ornano,LOCATION,121019,121028,0,,
fête du printemps,,121178,121195,0.4667,47774,Q131772
thé,,121406,121409,0.6078,3680900,Q6097
Piette Baumel Personne,PERSON,121677,121699,0,,
Rossini,,121704,121711,0.6648,107250,Q9726
Rossini,,121751,121758,0.6648,107250,Q9726
O.C.M. trop,PERSON,121791,121802,0,,
Teitgen Baumel Déjeuné,PERSON,122456,122478,0,,
Tristan,PERSON,122484,122491,0,,
Rossini,BUSINESS,122495,122502,0.8179,107250,Q9726
Freynet et Rémy,ORGANISATION,122613,122628,0,,
Tristan,PERSON,122838,122845,0,,
gaulliste,,123091,123100,0.6031,50270,Q770215
Freynet,BUSINESS,123448,123455,0,,
catholique,,124034,124044,0.6114,571,Q1841
cynisme,,124663,124670,0.553,74001,Q485459
porte-à-faux,,125784,125796,0.9466,50612,Q17227
Versailles,LOCATION,125820,125830,0.7715,15750,Q621
Français,,125977,125985,0.6535,1095,Q142
Bonni,PERSON,126043,126048,0,,
irai,,126414,126418,0.6911,492656,Q384304
Fayet,BUSINESS,126914,126919,0,,
Verdier,BUSINESS,127030,127037,0,,
France,LOCATION,127438,127444,0.7527,1095,Q142
capitale de la France,,127577,127598,0.4281,1993730,Q2743079
Toulouse,LOCATION,127618,127626,0.7931,2996,Q7880
Tristan,BUSINESS,127637,127644,0,,
Tristan,PERSON,127908,127915,0,,
Paris,LOCATION,128012,128017,0.7837,681159,Q90
Pia niste et socialiste,ORGANISATION,128040,128063,0,,
Chabot,BUSINESS,128096,128102,0,,
Freynet,BUSINESS,128355,128362,0,,
homme de lettres,,128848,128864,0.9215,1738,Q8242
Grégoire,BUSINESS,128964,128972,0,,
sociétés coopératives,,129211,129232,0.3545,114961,Q4539
Hachette,BUSINESS,129488,129496,0.4871,74663,Q349566
Pétain,,129683,129689,0.6166,2516,Q5721
Paris,LOCATION,129692,129697,0.7837,681159,Q90
Boulevard Saint Germain,BUSINESS,129852,129875,0.95,516811,Q533037
haie,,129936,129940,0.5903,455447,Q235779
Pétain,,129987,129993,0.6166,2516,Q5721
Boulevard Saint Germain,BUSINESS,130051,130074,0.95,516811,Q533037
bicyclette,,130090,130100,0.6225,31292,Q11442
Breton-On,BUSINESS,130527,130538,0,,
Rome,BUSINESS,130624,130628,0.7754,3324146,Q220
persécutions antireligieuses,,130665,130693,0.9208,4012435,Q301585
orthodoxie,,130727,130737,0.4152,45828,Q383258
régime soviétique,,130765,130782,0.6346,3111,Q15180
Russie,LOCATION,130835,130841,0.7536,2549,Q159
régime soviétique,,130900,130917,0.6346,3111,Q15180
église orthodoxe,,130943,130959,0.9308,1062153,Q35032
Staline,LOCATION,130978,130985,0.8631,32476,Q855
Rome,BUSINESS,131069,131073,0.7754,3324146,Q220
église romaine,,131107,131121,0.3582,2756664,Q665037
Rome,BUSINESS,131345,131349,0.7754,3324146,Q220
Olier,BUSINESS,131429,131434,0,,
Labruyère,LOCATION,131455,131464,0,,
Albi,LOCATION,131592,131596,0.7872,58083,Q132801
Henriot,BUSINESS,131598,131605,0,,
Lyon,LOCATION,131627,131631,0.8018,802627,Q456
Pisani VENDREDI-Déjeuné,PERSON,131725,131750,0,,
Edouard,PERSON,131756,131763,0,,
Inspection des Finances,ORGANISATION,131825,131848,0.9391,478799,Q3151643
gaullisme,,131882,131891,0.6254,50270,Q770215
gaullisme,,131995,132004,0.6254,50270,Q770215
gaulliste,,132189,132198,0.6031,50270,Q770215
Vogüé,,132322,132327,0.5324,323512,Q391128
SOIR Départ pour Limoges,BUSINESS,132477,132501,0,,
Juvisy,PERSON,132506,132512,0.5062,883669,Q628695
Massy-Palaiseau,,132579,132594,0.9918,538421,Q801166
wagon,,132649,132654,0.529,41234,Q9166501
Limoges,LOCATION,133133,133140,0.7742,8837,Q45656
Anglais,,133260,133267,0.4857,5539,Q1860
Limoges,LOCATION,133300,133307,0.7742,8837,Q45656
confédéré,,133819,133828,0.4076,1071587,Q1125021
Maillot,LOCATION,134606,134613,0,,
catholicisme,,134739,134751,0.701,571,Q1841
anxiété,,134970,134977,0.6213,447401,Q154430
pétainiste,,135571,135581,0.4524,2516,Q5721
dominicain,,135645,135655,0.6396,53127,Q131479
Pétain,PERSON,135704,135710,0.7473,2516,Q5721
socialisme,,136087,136097,0.6243,7136,Q7272
région,,136129,136135,0.6757,2605,Q36784
Paris,LOCATION,136612,136617,0.7837,681159,Q90
basse,,136951,136956,0.5463,5993,Q46185
Français,,137215,137223,0.6535,1095,Q142
Anglais,,137240,137247,0.4857,5539,Q1860
Toulouse,LOCATION,137303,137311,0.7931,2996,Q7880
zone sud,,137693,137701,0.5915,58392,Q3575913
apocalypse,,137814,137824,0.5251,30932,Q42040
Jean,PERSON,137939,137943,0,,
Commissaire de la République,,138009,138037,0.8426,1235168,Q2986303
Toulouse,LOCATION,138040,138048,0.7931,2996,Q7880
préjugé,,138102,138109,0.5509,88711,Q179742
espère,,138487,138493,0.5662,474089,Q1321617
Paris,LOCATION,138557,138562,0.7837,681159,Q90
Juvisy,,138622,138628,0.4078,883669,Q628695
Paris,LOCATION,138632,138637,0.7837,681159,Q90
argile,,138772,138778,0.7294,22385,Q42302
psychologie,,139003,139014,0.6851,2398,Q9418
période de Vichy,,139329,139345,0.5078,4105431,Q69808
Cheval-Dormois,BUSINESS,139663,139677,0,,
Lecompte-Boinet,,139833,139848,0.352,1032904,Q3159342
l'union sacrée,,140087,140101,0.7626,1697838,Q3204812
bouffé,,140430,140436,0.3689,5271074,Q3142514
tigre,,140440,140445,0.3565,63377,Q19939
Crouzet,BUSINESS,141156,141163,0,,
mol,,141212,141215,0.71,5707,Q41509
Garnier,PERSON,141455,141462,0,,
lieux communs,,141515,141528,0.6789,57274,Q1500906
Fontenay,LOCATION,141745,141753,0,,
CDLR,ORGANISATION,141755,141759,0.7261,957072,Q2947157
Paris,LOCATION,141815,141820,0.7837,681159,Q90
France,LOCATION,142346,142352,0.7527,1095,Q142
patriotisme,,142536,142547,0.3546,20033,Q6241
F.T.C.-II,PERSON,143002,143013,0,,
avocat,,143397,143403,0.6304,57147,Q40348
Paris,LOCATION,143453,143458,0.7837,681159,Q90
Piette Personne,PERSON,143475,143490,0,,
Paris,LOCATION,143617,143622,0.7837,681159,Q90
maintien de l'ordre,,143632,143651,0.5986,332922,Q160146
contre révolutionnaire,,143669,143691,0.5119,487256,Q755138
Paris,LOCATION,143900,143905,0.7837,681159,Q90
Paris,LOCATION,143918,143923,0.7837,681159,Q90
Jean,PERSON,144070,144074,0,,
anxiété,,144203,144210,0.6213,447401,Q154430
Jean,PERSON,144265,144269,0,,
anxiété,,144423,144430,0.6213,447401,Q154430
anxiété,,144436,144443,0.6213,447401,Q154430
Révolution,,144482,144492,0.646,6742,Q6534
Vogüé,,144661,144666,0.5324,323512,Q391128
SAMEDI SOIR,,144667,144678,0.9151,3916120,Q3470737
Paris,LOCATION,144743,144748,0.7837,681159,Q90
troupes alliées,,144938,144953,0.4282,1355208,Q329888
région,,144971,144977,0.6757,2605,Q36784
juif,,145093,145097,0.5462,2350680,Q7325
Compiègne,LOCATION,145146,145155,0.7822,10322,Q180871
antisémitisme,,145166,145179,0.7394,8391,Q22649
juifs,,145209,145214,0.6281,2350680,Q7325
juifs,,145356,145361,0.6281,2350680,Q7325
juifs,,145490,145495,0.6281,2350680,Q7325
Jacques,PERSON,145925,145932,0,,
Delsol,BUSINESS,146367,146373,0,,
intérêt général,,146616,146631,0.6398,3066274,Q29627
faille,,146842,146848,0.5141,91956,Q47089
économistes libéraux,,146899,146919,0.6435,450139,Q729119
bien commun,,147043,147054,0.9333,7246382,Q13534337
pétainiste,,147777,147787,0.4524,2516,Q5721
Michel Debré,PERSON,148291,148303,0.9954,15801,Q296386
Jacquier,BUSINESS,148323,148331,0.3709,284805,Q45757
zone sud,,148711,148719,0.5915,58392,Q3575913
Conseil d'Etat,,148761,148775,0.8737,244399,Q769657
épuration,,148828,148837,0.3816,18933,Q221275
Paris,LOCATION,149086,149091,0.7837,681159,Q90
conseillers municipaux,,149289,149311,0.6215,3634863,Q2647159
Paris,,149407,149412,0.5627,681159,Q90
Paris,,149461,149466,0.5627,681159,Q90
Dormois,BUSINESS,149609,149616,0,,
dane,,150935,150939,0.3832,19071,Q9035
Maillot,BUSINESS,151863,151870,0,,
C.F.T,BUSINESS,151918,151923,0,,
Paris,LOCATION,151977,151982,0.7837,681159,Q90
espère,,152000,152006,0.5662,474089,Q1321617
jocistes,,152033,152041,0.6471,405585,Q707083
Allemagne,LOCATION,152139,152148,0.7793,1590005,Q183
bombes incendiaires,,152211,152230,0.9507,880220,Q897842
allemande,,152327,152336,0.5225,1590005,Q183
allemand,,152696,152704,0.4442,1590005,Q183
Berlin,LOCATION,152858,152864,0.8349,7221,Q64
Colin,PERSON,153235,153240,0,,
Monsieur,LOCATION,153671,153679,0,,
Fugp,ORGANISATION,153996,154000,0,,
Fédération,ORGANISATION,154048,154058,0,,
JCC,,154257,154260,0.4641,107815,Q734698
Versailles,LOCATION,154432,154442,0.7715,15750,Q621
Commissaire de la République,,154551,154579,0.8426,1235168,Q2986303
Marsac,BUSINESS,154602,154608,0,,
veules,,154877,154883,0.5529,49757,Q3333964
français,,154895,154903,0.647,1095,Q142
diapason,,155357,155365,0.3573,31772,Q201898
dane,,155456,155460,0.3832,19071,Q9035
Paul André,PERSON,156141,156151,0.5836,947501,Q3370473
allier,,156476,156482,0.6324,33,Q3113
anti-communiste,,156584,156599,0.9274,387403,Q182121
Garnier,LOCATION,156735,156742,0,,
Afrique du Nord,LOCATION,156889,156904,0.9889,14389,Q27381
droit de vote,,157099,157112,0.7869,402505,Q185387
nationalisation,,157414,157429,0.5927,5118,Q178564
expropriation,,157431,157444,0.5591,750723,Q86757
socialisation,,157446,157459,0.5604,47979,Q185467
français,,158257,158265,0.647,1095,Q142
Gaulle,PERSON,158504,158510,0,,
France,LOCATION,158582,158588,0.7527,1095,Q142
